1,0.04,84.87,23.436
2,0.09,85.12,23.438
3,0.14,84.92,23.441
4,0.07,84.74,23.443
5,0,84.57,23.441
6,0.02,84.41,23.433
7,-0.06,83.93,23.428
8,-0.01,82.94,23.426
9,-0.07,83.12,23.417
10,-0.19,82.2,23.415
11,-0.11,81.44,23.414
12,0.03,82.33,23.408
13,0.02,81.36,23.406
14,-0.03,81.21,23.405
15,-0.04,82.1,23.406
16,-0.04,82.23,23.407
17,-0.02,81.41,23.406
18,-0.01,81.41,23.403
19,0.01,81.92,23.397
20,0.02,82.13,23.393
21,0.01,82.53,23.388
22,0.04,82.13,23.384
23,0.01,82.18,23.381
24,0.03,82.28,23.372
25,0.01,81.92,23.361
26,0.03,81.95,23.353
27,0.04,82.1,23.345
28,0.03,82.53,23.336
29,0,82.23,23.331
30,0.02,82.96,23.323
31,0.01,83.32,23.312
32,0.04,83.83,23.304
33,-0.01,83.83,23.3
34,0.02,83.68,23.299
35,0.07,83.37,23.296
36,0.08,82.69,23.295
37,0.08,83.02,23.295
38,0.05,82.81,23.296
39,-0.02,83.52,23.294
40,0,82.53,23.287
41,-0.07,82.08,23.282
42,-0.06,82.15,23.277
43,-0.01,82.35,23.27
44,0.02,82.46,23.263
45,0.02,82.56,23.256
46,0.02,82.63,23.253
47,0.06,82.89,23.247
48,-0.02,82.84,23.242
49,0.01,82.69,23.247
50,0.03,82.86,23.243
51,0.02,83.7,23.238
52,-0.07,83.68,23.233
53,-0.03,84.26,23.231
54,0,84.23,23.225
55,0,83.83,23.221
56,-0.02,84.72,23.215
57,0.04,85,23.212
58,0.05,84.97,23.21
59,0.05,84.57,23.21
60,0.06,84.23,23.208
61,0.05,84.31,23.207
62,0.07,83.45,23.206
63,-0.01,83.8,23.204
64,-0.01,83.4,23.198
65,-0.01,83.8,23.194
66,-0.02,83.65,23.194
67,-0.05,84.03,23.193
68,-0.04,84.39,23.189
69,0.02,84.06,23.183
70,0.01,83.65,23.176
71,-0.08,83.47,23.173
72,-0.03,83.68,23.167
73,-0.03,83.63,23.165
74,0,83.52,23.158
75,-0.01,84.08,23.157
76,-0.02,84.51,23.156
77,-0.02,84.84,23.152
78,-0.01,85.51,23.145
79,-0.02,86.55,23.145
80,-0.02,85.91,23.147
81,-0.01,85.63,23.149
82,0.01,84.92,23.148
83,0.05,84.57,23.146
84,0.07,84.29,23.145
85,0.08,84.46,23.14
86,0.1,84.31,23.14
87,0.08,84.13,23.143
88,0.08,84.44,23.141
89,0.04,84.21,23.136
90,-0.02,84.49,23.128
91,-0.04,84.01,23.123
92,-0.09,84.51,23.119
93,-0.1,84.44,23.118
94,-0.1,85.05,23.12
95,-0.05,84.87,23.121
