1,21,77,0,28,0,27,48,22
2,0,92,0,0,26,36,92,56
3,0,82,0,52,-5,29,30,2
4,0,76,0,28,18,40,48,8
5,0,79,0,34,-26,43,46,2
6,0,88,-4,6,1,3,83,80
7,0,81,0,-4,11,25,86,62
8,-1,95,-3,54,-4,40,41,2
9,8,77,0,28,0,23,48,24
10,0,101,-7,28,0,64,73,8
11,0,78,-2,12,0,42,65,24
12,0,84,0,46,20,38,37,0
13,2,77,0,38,7,39,38,0
14,0,78,0,-2,5,41,81,40
15,0,100,0,38,-8,59,61,2
16,0,89,1,38,-16,48,50,2
17,0,85,-2,46,-4,38,39,0
18,0,79,0,46,-5,30,32,2
19,3,82,0,50,4,33,33,0
20,-318,105,-2,36,-4,68,69,0
21,3,77,0,44,2,33,33,0
22,2,108,0,70,0,1,38,36
23,-5,76,0,28,0,40,48,8
24,0,100,0,50,19,52,51,0
25,-1,87,-2,44,-4,43,43,0
26,4,80,0,-2,0,43,83,40
27,-1,98,0,52,8,42,46,4
28,0,86,8,54,0,31,32,0
29,3,88,3,54,0,32,33,2
30,0,74,0,26,-1,38,48,10
31,0,106,0,36,3,68,69,2
32,0,107,0,46,-16,58,60,2
33,5,83,0,-46,0,4,130,126
34,0,79,0,52,29,28,27,0
35,4,84,0,60,24,25,24,0
36,0,108,0,30,-21,71,77,6
37,3,97,0,46,9,41,51,10
38,5,77,0,38,0,37,38,0
39,-5,81,0,52,0,30,30,0
40,0,77,0,46,-9,29,31,2
41,2,77,0,44,-19,32,34,2
42,0,81,0,56,0,24,24,0
43,0,79,0,16,3,23,63,40
44,0,105,0,34,4,68,71,4
45,0,81,-2,-40,13,5,122,118
46,0,80,0,56,7,24,23,0
47,2,76,0,42,11,35,35,0
48,1,85,0,38,0,44,46,2
49,-4,97,0,52,-2,41,45,4
50,0,95,1,50,2,46,46,0
51,2,76,0,36,0,38,39,2
52,1,99,0,50,16,42,49,8
53,-4,88,0,56,0,31,31,0
54,-3,81,-2,38,-9,43,42,0
55,0,84,4,46,0,38,38,0
56,1,86,2,42,14,45,45,0
57,3,81,0,54,0,27,26,0
58,5,79,0,46,0,32,32,0
59,7,105,7,70,0,1,35,34
60,-3,102,-4,72,0,1,29,28
61,0,86,0,44,-17,41,42,2
62,4,77,0,42,1,35,35,0
63,0,79,0,44,-4,34,35,2
64,0,80,0,36,15,43,44,2
65,0,96,-1,44,0,40,52,12
66,0,81,0,-10,-3,25,92,66
67,0,83,2,42,0,41,42,2
68,1,88,0,52,7,37,37,0
69,3,82,0,46,-8,33,35,2
70,1,86,3,42,6,45,45,0
71,0,77,0,336,4910,41,-258,-298
72,0,84,0,46,-4,36,38,2
73,-1,77,-3,34,-6,40,43,2
74,0,79,0,38,-23,38,41,2
75,0,79,0,52,2,27,27,0
76,-1,79,-4,20,-12,24,59,34
77,0,77,0,42,5,37,36,0
78,-3,80,0,46,0,34,34,0
79,0,79,0,-2,-24,24,82,58
80,0,82,-1,44,0,38,38,0
81,0,83,0,46,31,37,36,0
82,0,77,-1,36,4,40,41,0
83,0,75,-1,36,0,38,39,0
84,1,77,-2,34,0,40,43,2
85,0,79,0,50,-6,28,30,2
86,-4,76,-1,46,0,29,29,0
87,0,77,5,50,5,28,28,0
88,0,108,0,44,-3,62,64,2
89,0,79,-2,42,0,36,37,2
90,0,78,0,20,-10,41,57,16
91,0,76,-3,36,-10,39,40,2
92,5,84,0,52,-5,31,32,2
93,4,76,0,38,4,38,37,0
94,0,80,0,38,-2,40,41,2
95,2,95,3,46,0,48,49,0
96,0,79,5,44,0,34,35,2
97,-1,86,0,42,0,45,45,0
98,0,95,0,36,13,40,59,20
99,0,95,0,56,15,40,39,0
100,-3,83,0,50,-14,32,33,2
101,0,75,0,34,10,38,41,2
102,0,75,0,28,16,38,46,8
103,-2,84,0,-18,-30,4,103,98
104,0,95,-4,42,-4,52,54,2
105,0,84,2,42,25,43,43,0
106,0,87,-7,46,-25,38,41,2
107,0,83,0,46,-14,34,37,2
108,-3,77,0,20,0,40,56,16
109,0,84,0,-12,29,4,97,94
110,1,84,0,54,-1,29,30,2
111,0,96,0,46,23,41,50,8
112,0,81,-2,42,-4,39,39,0
113,0,83,0,-40,3,4,125,120
114,-5,84,0,60,6,25,24,0
115,-3,87,0,56,0,31,30,0
116,0,82,1,-10,0,26,92,66
117,0,92,0,-2,-4,36,95,58
118,0,80,0,46,0,34,34,0
119,0,78,0,8,-19,22,70,48
120,0,83,0,34,7,47,50,2
121,0,77,0,2,17,40,74,34
122,-1,87,-5,52,-10,34,35,2
123,-1,79,-4,36,-6,42,43,2
124,-1,82,-4,44,0,38,38,0
125,-3,95,0,46,-4,47,49,2
126,5,79,5,42,0,37,38,0
127,0,106,-1,34,0,68,72,4
128,0,81,5,36,-3,43,44,2
129,-4,82,-3,44,0,38,38,0
130,0,83,0,46,19,38,37,0
131,2,83,-2,54,0,28,29,0
132,0,77,0,-14,-4,21,92,70
133,3,78,0,38,-1,37,39,2
134,0,78,-5,8,0,41,70,30
135,3,91,0,56,0,34,34,0
136,0,76,0,38,14,38,37,0
137,0,77,0,8,-8,41,70,28
138,0,76,-5,28,6,39,47,8
139,4,84,0,50,2,35,35,0
140,0,77,5,-12,-10,41,90,50
141,-4,85,0,50,0,35,36,2
142,-2,87,0,52,5,36,35,0
143,0,93,0,12,7,56,81,24
144,0,82,1,54,-12,26,28,2
145,0,81,3,42,-4,38,40,2
146,-2,108,0,54,-3,52,53,2
147,0,81,-1,36,-18,43,44,2
148,-1,78,-3,44,-5,33,34,2
149,0,77,7,38,0,36,38,2
150,1,87,0,46,0,39,41,2
151,0,81,0,44,15,37,37,0
152,0,96,0,52,-3,40,44,4
153,0,92,0,24,3,55,69,14
154,1,83,0,44,-9,37,39,2
155,-2,77,3,46,-30,28,30,2
156,0,83,0,44,2,38,39,0
157,0,81,0,-20,-4,25,102,76
158,-3,109,-6,46,0,61,62,2
159,0,83,0,34,5,46,49,4
160,-4,83,0,50,0,33,34,2
161,-2,75,0,46,0,28,28,0
162,1,81,-1,46,0,33,34,2
163,0,82,0,-42,-9,26,126,100
164,3,107,0,50,0,57,58,0
165,0,102,-4,34,0,65,69,4
166,0,106,17,28,0,69,77,8
167,0,77,0,-6,-19,41,85,44
168,0,79,0,26,-22,42,53,12
169,0,84,0,44,13,41,41,0
170,-1,81,0,36,0,45,45,0
171,1,80,0,46,31,35,34,0
172,0,78,0,0,-3,23,78,56
173,5,88,0,56,0,30,31,2
174,0,88,-4,46,0,40,41,2
175,-1,106,2,70,0,2,36,34
176,-1,86,-1,54,-2,32,32,0
177,4,96,0,52,10,40,44,4
